tickertime,openprice,closeprice,high,low,predictprice
2018-12-12,3487.87935755,3313.67725772,3489.73939494,3298.13196161,6195.193422265935
2018-12-11,3421.4583733,3486.95014412,3534.22857953,3413.48135271,6185.224461233489
2018-12-10,3497.5547337,3424.58807495,3513.18494093,3392.2500529,6175.268800923245
2018-12-09,3612.04639531,3502.65599577,3647.33258231,3470.14441964,6165.326427248161
2018-12-08,3473.22762038,3614.23427278,3685.30559965,3469.09435766,6155.3973261319725
2018-12-07,3421.9104035,3476.11471452,3506.04339159,3350.65070337,6145.481483509594
2018-12-06,3512.59040851,3419.93720035,3512.59040851,3280.22875211,6135.578885326959
2018-12-05,3754.07446712,3521.10172384,3874.96603127,3521.10172384,6125.689517540919
2018-12-04,3958.89472485,3753.99482663,3969.53585216,3753.99482663,6115.81336611944
2018-12-03,3886.2948763,3956.89386975,4075.62765492,3832.74993843,6105.950417041546
2018-12-02,4147.32376691,3894.1309069,4155.97928378,3840.44626837,6096.100656297164
2018-12-01,4200.73317961,4139.8780641,4301.51941165,4110.97847302,6086.2640698872765
2018-11-30,4024.46424203,4214.67193177,4309.37731216,3969.71064261,6076.440643823907
2018-11-29,4289.08896703,4017.26845712,4322.97639207,3942.82208559,6066.630364129924
2018-11-28,4269.00439453,4278.84645524,4413.02046804,4145.76513672,6056.833216839382
2018-11-27,3822.47,4257.42,4385.9,3822.47,6047.049187997171
2018-11-26,3765.95,3820.72,3862.96,3661.01,6037.27826365921
2018-11-25,4015.07,3779.13,4107.14,3643.92,6027.520429892393
2018-11-24,3880.78,4009.97,4120.87,3585.06,6017.775672774533
2018-11-23,4347.69,3880.76,4413.09,3795.16,6008.043978394414
2018-11-22,4360.7,4347.11,4396.42,4195.68,5998.325332851879
2018-11-21,4611.57,4365.94,4629.64,4365.64,5988.619722257628
2018-11-20,4465.54,4602.17,4675.73,4343.98,5978.927132733271
2018-11-19,4863.93,4451.87,4951.61,4272.11,5969.2475504113645
2018-11-18,5620.78,4871.49,5620.78,4842.91,5959.580961435459
2018-11-17,5559.74,5623.54,5653.61,5559.74,5949.927351960001
2018-11-16,5578.58,5554.33,5578.58,5519.56,5940.286708150321
2018-11-15,5645.32,5575.55,5657.02,5498.94,5930.6590161827335
2018-11-14,5736.15,5648.03,5774.82,5358.38,5921.044262244431
2018-11-13,6351.24,5738.35,6371.55,5544.09,5911.442432533436
2018-11-12,6373.19,6359.49,6395.27,6342.67,5901.853513258784
2018-11-11,6411.76,6371.27,6434.21,6360.47,5892.277490640333
2018-11-10,6413.63,6411.27,6423.25,6350.17,5882.714350908852
2018-11-09,6386.13,6409.22,6437.28,6385.31,5873.164080305967
2018-11-08,6442.6,6385.62,6456.46,6373.37,5863.626665084209
2018-11-07,6522.27,6453.72,6536.92,6438.53,5854.1020915069585
2018-11-06,6468.5,6530.14,6552.16,6468.31,5844.590345848492
2018-11-05,6433.38,6461.01,6463.55,6408.16,5835.091414393877
2018-11-04,6363.62,6419.66,6480.59,6363.62,5825.605283439073
2018-11-03,6365.47,6376.13,6388.63,6294.57,5816.131939290915
2018-11-02,6387.24,6361.26,6400.07,6342.37,5806.671368267072
2018-11-01,6378.92,6388.44,6396.86,6327.38,5797.223556695987
2018-10-31,6318.14,6377.78,6547.14,6311.83,5787.788490917025
